No,ID_ID,ID,Label,Country,State,County_Parish,Origin_for_NCBI,Status,Gly_Box,Zip_Code,Field_Clone,Field_Clone_No,Plant_Clone,NewPlant_Clone,Plant_Clone_group,LAT,LONG,LAT_LONG_for_NCBI,Notes,Host,Host_ScientificName,Substrate,isolation_source_for_NCBI,Species,Cultivar,GrowthStage,PreviousCrop,Collector,Coll.Date,Year,Type,Species_Type,DMCC_Number,Hy_PopAdmixture1,Hy_PopAdmixture2,Hyp_PopThreeClustAfterAdm1,Hyp_PopPCA1ByState,Hy_PopPCAAdmixture1,Hyp_Pop1,Hyp_Pop2,Hyp_Pop3,Hyp_Pop4,Hyp_Admix_postPCA,Hyp_Admix_postPCA_Final,Hyp_Final
1,1956_JDR_1956_JDR,1956_JDR,Hemmes_Xy-9b_X._arbuscula,USA,HI,Hemmes,USA:HI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,,Undetermined,Undetermined,DeadWood,Undetermined:DeadWood,Xylaria arbuscula,NA,NA,NA,Ju_Y-M.Rogers_JD,1990-05-22,1990,Historical,X.arbuscula_Historical,None,None,None,None,NA,None,PacificOcean,PacificOcean,PacificOcean,PacificOcean,None,None,None
2,1960_JDR,1960_JDR,Xylaria_arbuscula_Sacc_Ko209F,USA,HI,Ko,USA:HI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,,Undetermined,Undetermined,DeadWood,Undetermined:DeadWood,Xylaria arbuscula,NA,NA,NA,Ju_Y-M.Siucanno,NA,,Historical,X.arbuscula_Historical,None,None,None,None,NA,None,PacificOcean,PacificOcean,PacificOcean,PacificOcean,None,None,None
3,BPI583548_BPI583548,BPI583548,Xylaria_arbuscula_Sacc.,USA,LA,East_Baton_Rouge,USA:LA,NA,NA,NA,NA,NA,NA,LA_EastBatonRouge_Hist_Gardenia,NA,30.45075,-91.15455,30.45075 N -91.15455 W,,Gardenia,Gardenia_sp.,Unknown,Gardenia:Unknown,Xylaria necrophora,NA,NA,NA,Plakidas.A.G.,1940-05-01,1940,Historical,X.necrophora_Historical,None,None,None,None,Lin1,None,WestMissRiver,WestMissRiver,SouthernLA,SouthernLA,None,None,None
4,BPI584026_BPI584026,BPI584026,Xylaria_arbuscula_Sacc.,USA,LA,Houma,USA:LA,NA,NA,NA,NA,NA,NA,LA_Houma_Hist_Saccharum,NA,29.59577,-90.71954,29.59577 N -90.71954 W,,Sugarcane,Saccharum_officinarum,Unknown,Sugarcane:Unknown,Xylaria necrophora,NA,NA,NA,Rands.R.D.,1938-10-01,1938,Historical,X.necrophora_Historical,None,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,SouthernLA,SouthernLA,Lin1,Lin1,Lin1
5,BPI584125_BPI584125,BPI584125,Xylaria_arbuscula_Sacc.,USA,FL,Coconut_Grove,USA:FL,NA,NA,NA,NA,NA,NA,FL_RoyalPalmHammock_Hist_Undet,NA,25.7126,-80.257,25.7126 N -80.257 W,,Undetermined,Undetermined,DeadWood,Undetermined:DeadWood,Xylaria necrophora,NA,NA,NA,Thaxter.R.,NA,,Historical,X.necrophora_Historical,None,None,None,None,NA,None,EastMissRiver,EastMissRiver,Florida,Florida,None,None,None
6,BPI584151_BPI584151,BPI584151,Xylaria_arbuscula_Sacc.,USA,FL,Royal_Palm_Hammock,USA:FL,NA,NA,NA,NA,NA,NA,FL_CoconutGrove_Hist_Undet,NA,25.99426,-81.59175,25.99426 N -81.59175 W,,Undetermined,Undetermined,DeadWood,Undetermined:DeadWood,Xylaria necrophora,NA,NA,NA,Shear.C.L.,1923-11-06,1923,Historical,X.necrophora_Historical,None,None,None,None,NA,None,EastMissRiver,EastMissRiver,Florida,Florida,None,None,None
7,BPI584189_BPI584189,BPI584189,Xylaria_arbuscula_Sacc.,USA,FL,Big_Tree,USA:FL,NA,NA,NA,NA,NA,NA,NA,NA,28.55365,-81.3699556,28.55365 N -81.3699556 W,,LiveOak,Quercus_sp.,DeadWood,LiveOak:DeadWood,Xylaria arbuscula,NA,NA,,Shear.C.L.,1943-01-25,1943,Historical,X.arbuscula_Historical,None,None,None,None,NA,None,EastMissRiver,EastMissRiver,Florida,Florida,None,None,None
8,DMCC1467_DMCC1467,DMCC1467,LA-2016-1,USA,LA,Franklin,USA:LA,Lyophilized,0,NA,LA_Franklin_01,1,LA_Franklin_01_Clone1,LA_Franklin_01_Clone1,Clone1,32.03189,-91.564801,32.03189 N -91.564801 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Price,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC1467_DMCC1467,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
9,DMCC1468_DMCC1468,DMCC1468,LA-2016-2,USA,LA,Madison,USA:LA,Lyophilized,0,NA,LA_Madison_01,1,LA_Madison_01_Clone1,LA_Madison_01_Clone1,Clone1,32.476882,-91.435039,32.476882 N -91.435039 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Price,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC1468_DMCC1468,Lin1,Lin1_Lin2,Lin1,Lin2,Lin2,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Admix,Lin2
10,DMCC1469_DMCC1469,DMCC1469,LA-2016-3,USA,LA,West_Carrol,USA:LA,Lyophilized,0,NA,LA_West_Carrol_01,1,LA_West_Carrol_01_Clone1,LA_West_Carrol_01_Clone1,Clone1,32.644439,-91.409137,32.644439 N -91.409137 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Price,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC1469_DMCC1469,Lin2,Lin2,Lin2,Lin2,Lin2,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin2,Lin2,Lin3
11,DMCC1485_DMCC1485,DMCC1485,LA-2016-4,USA,LA,West_Carrol,USA:LA,Lyophilized,0,NA,LA_West_Carrol_02,2,LA_West_Carrol_02_Clone1,LA_West_Carrol_02_Clone1,Clone1,32.913588,-91.452126,32.913588 N -91.452126 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Price,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC1485_DMCC1485,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
12,DMCC1486_DMCC1486,DMCC1486,LA-2016-5,USA,LA,East_Carrol,USA:LA,Lyophilized,0,NA,LA_East_Carrol_01,1,LA_East_Carrol_01_Clone1,LA_East_Carrol_01_Clone1,Clone1,32.765212,-91.276662,32.765212 N -91.276662 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Price,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC1486_DMCC1486,Lin2,Lin2,Lin2,Lin2,Lin2,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin2,Lin2,Lin3
13,DMCC1487_DMCC1487,DMCC1487,LA-2016-6,USA,LA,East_Carrol,USA:LA,Lyophilized,0,NA,LA_East_Carrol_05,1,LA_East_Carrol_05_Clone1,LA_East_Carrol_05_Clone1,Clone1,32.773593,-91.243585,32.773593 N -91.243585 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Price,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC1487_DMCC1487,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
14,DMCC1509_DMCC1509,DMCC1509,LA-2016-9,USA,LA,Tensas,USA:LA,Lyophilized,0,NA,LA_Tensas_01,1,LA_Tensas_01_Clone1,LA_Tensas_01_Clone1,Clone1,31.942194,-91.225891,31.942194 N -91.225891 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Price,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC1509_DMCC1509,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
15,DMCC2089_DMCC2089,DMCC2089,TG06062017-02,USA,LA,Morehouse,USA:LA,Lyophilized,0,NA,LA_Morehouse_01,1,LA_Morehouse_01_Clone1,LA_Morehouse_01_Clone1,Clone1,32.808165,-91.726395,32.808165 N -91.726395 W,,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Garcia-Aroca,2017-06-06,2017,Contemp,X.necrophora_Contemp,DMCC2089_DMCC2089,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
16,DMCC2091_DMCC2091,DMCC2091,TG06062017-03,USA,LA,East_Carrol,USA:LA,Lyophilized,0,NA,LA_East_Carrol_04,4,LA_East_Carrol_04_Clone2,LA_East_Carrol_04_Clone2,Clone4,32.9259,-91.2884,32.9259 N -91.2884 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,AG4786,0,0,T.Garcia-Aroca,2017-06-06,2017,Contemp,X.necrophora_Contemp,DMCC2091_DMCC2091,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
17,DMCC2095_DMCC2095,DMCC2095,TG06072017-04-01,USA,LA,Franklin,USA:LA,Lyophilized,0,NA,LA_Franklin_02,2,LA_Franklin_02_Clone1,LA_Franklin_02_Clone1,Clone1,32.03143,-91.56208,32.03143 N -91.56208 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Garcia-Aroca,2017-06-07,2017,Contemp,X.necrophora_Contemp,DMCC2095_DMCC2095,Lin1,Lin1,Lin3,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
18,DMCC2097_DMCC2097,DMCC2097,C2I9,USA,AR,Craighead,USA:AR,Lyophilized,B2D2,NA,AR_Craighead_01,1,AR_Craighead_01_Clone1,AR_Craighead_01_Clone1,Clone1,35.736239,-90.340424,35.736239 N -90.340424 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2097_DMCC2097,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
19,DMCC2098_DMCC2098,DMCC2098,G2I2,USA,MS,George,USA:MS,Lyophilized,B2D2,NA,MS_George_01,1,MS_George_01_Clone1,MS_George_01_Clone1,Clone1,30.87591,-88.66979,30.87591 N -88.66979 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2098_DMCC2098,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,SouthernMS,SouthernMS_5,Lin1,Lin1,Lin1
20,DMCC2099_DMCC2099,DMCC2099,PAI1,USA,MS,Panola,USA:MS,Lyophilized,B2D2,NA,MS_Panola_01,1,MS_Panola_01_Clone1,MS_Panola_01_Clone1,Clone1,34.326836,-89.81316,34.326836 N -89.81316 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2099_DMCC2099,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver_Yal,Lin1,Lin1,Lin1
21,DMCC2100_DMCC2100,DMCC2100,FOI2,USA,MS,Forrest,USA:MS,Lyophilized,B2D2,NA,MS_Forest_01,1,MS_Forest_01_Clone1,MS_Forest_01_Clone1,Clone1,31.32513,-89.17921,31.32513 N -89.17921 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2100_DMCC2100,Lin1,Lin1_Lin2,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,SouthernMS,SouthernMS_1,Lin1,Lin1,Lin1
22,DMCC2101_DMCC2101,DMCC2101,PYI1,USA,MS,Perry,USA:MS,Lyophilized,B2D2,NA,MS_Perry_01,1,MS_Perry_01_Clone1,MS_Perry_01_Clone1,Clone1,31.29728,-89.13347,31.29728 N -89.13347 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2101_DMCC2101,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,SouthernMS,SouthernMS_1,Lin1,Lin1,Lin1
23,DMCC2102_DMCC2102,DMCC2102,LEI4,USA,MS,Lee,USA:MS,Lyophilized,B2D2,NA,MS_Lee_01,1,MS_Lee_01_Clone1,MS_Lee_01_Clone1,Clone1,34.168006,-88.739052,34.168006 N -88.739052 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2102_DMCC2102,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,MS_AL,MS_AL,Lin1,Lin1,Lin1
24,DMCC2103_DMCC2103,DMCC2103,FI12,USA,MS,Holmes,USA:MS,Lyophilized,B2D2,NA,MS_Holmes_01,1,MS_Holmes_01_Clone1,MS_Holmes_01_Clone1,Clone1,33.1343944,-90.2059361,33.1343944 N -90.2059361 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2103_DMCC2103,Lin2,Lin2_Lin1,Lin2,Lin1,Lin2,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver,Lin2,Lin1,Lin1
25,DMCC2104_DMCC2104,DMCC2104,LMI8,USA,MS,Lamar,USA:MS,Lyophilized,B2D2,NA,MS_Lamar_01,1,MS_Lamar_01_Clone1,MS_Lamar_01_Clone1,Clone1,31.388,-89.53981,31.388 N -89.53981 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2104_DMCC2104,Lin2,Lin2,Lin2,Lin1,Lin2,EastMissRiver,EastMissRiver,SouthernMS,SouthernMS_1,Lin2,Lin2,Lin3
26,DMCC2105_DMCC2105,DMCC2105,G1I4,USA,MS,George,USA:MS,Lyophilized,B2D2,NA,MS_George_02,2,MS_George_02_Clone1,MS_George_02_Clone1,Clone1,30.91021,-88.5726,30.91021 N -88.5726 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2105_DMCC2105,Lin2,Lin2,Lin2,Lin2,Lin2,EastMissRiver,EastMissRiver,SouthernMS,SouthernMS_5,Lin2,Admix,Lin2
27,DMCC2106_DMCC2106,DMCC2106,ALI3,USA,AL,Sumter,USA:AL,Lyophilized,B2D2,NA,AL_Sumter_01,1,AL_Sumter_01_Clone1,AL_Sumter_01_Clone1,Clone1,32.8871917,-88.3446472,32.8871917 N -88.3446472 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2106_DMCC2106,Lin2,Lin2,Lin2,Lin2,Lin2,EastMissRiver,EastMissRiver,MS_AL,MS_AL,Lin2,Lin2,Lin3
28,DMCC2108_DMCC2108,DMCC2108,GI16,USA,MS,George,USA:MS,Lyophilized,B2D2,NA,MS_George_03,3,MS_George_03_Clone1,MS_George_03_Clone1,Clone1,30.7660833,-88.58745,30.7660833 N -88.58745 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2108_DMCC2108,Lin2,Lin2_Lin1,Lin2,Lin1,Lin2,EastMissRiver,EastMissRiver,SouthernMS,SouthernMS_5,Lin1,Lin1,Lin1
29,DMCC2109_DMCC2109,DMCC2109,HI11,USA,MS,Hinds,USA:MS,Lyophilized,B2D2,NA,MS_Hinds_01,1,MS_Hinds_01_Clone1,MS_Hinds_01_Clone1,Clone1,32.21049,-90.47832,32.21049 N -90.47832 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2109_DMCC2109,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver_Hinds,Lin1,Lin1,Lin1
30,DMCC2110_DMCC2110,DMCC2110,JI13,USA,MS,Jackson,USA:MS,Lyophilized,B2D2,NA,MS_Jacskson_01,1,MS_Jacskson_01_Clone1,MS_Jacskson_01_Clone1,Clone1,30.66489,-88.41192,30.66489 N -88.41192 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2110_DMCC2110,Lin1,Lin1_Lin2,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,SouthernMS,SouthernMS_5,Lin1,Lin1,Lin1
31,DMCC2111_DMCC2111,DMCC2111,L1I4,USA,MS,Lafayette,USA:MS,Lyophilized,B2D2,NA,MS_Lafayette_01,1,MS_Lafayette_01_Clone1,MS_Lafayette_01_Clone1,Clone1,34.173053,-89.501333,34.173053 N -89.501333 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2111_DMCC2111,Lin2,Lin2,Lin2,Lin2,Lin2,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver_Yal,Lin2,Lin2,Lin3
32,DMCC2113_DMCC2113,DMCC2113,LFI7,USA,MS,Leflore,USA:MS,Lyophilized,B2D2,NA,MS_Leflore_01,1,MS_Leflore_01_Clone1,MS_Leflore_01_Clone1,Clone1,33.744124,-90.313346,33.744124 N -90.313346 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2113_DMCC2113,Lin2,Lin2_Lin1,Lin2,Lin1,Lin2,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver,Lin1,Lin1,Lin1
33,DMCC2114_DMCC2114,DMCC2114,MOI7,USA,MO,Greene,USA:MO,Lyophilized,B2D2,NA,MO_Greene_01,1,MO_Greene_01_Clone1,MO_Greene_01_Clone1,Clone1,36.0469,-90.11431,36.0469 N -90.11431 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2114_DMCC2114,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
34,DMCC2115_DMCC2115,DMCC2115,M1I3,USA,MS,Monroe,USA:MS,Lyophilized,B2D2,NA,MS_Monroe_01,1,MS_Monroe_01_Clone1,MS_Monroe_01_Clone1,Clone1,33.770934,-88.466259,33.770934 N -88.466259 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2115_DMCC2115,Lin2,Lin2_Lin1,Lin2,Lin1,Lin2,EastMissRiver,EastMissRiver,MS_AL,MS_AL,Lin1,Lin1,Lin1
35,DMCC2116_DMCC2116,DMCC2116,M2I6,USA,MS,Monroe,USA:MS,Lyophilized,B2D2,NA,MS_Monroe_02,2,MS_Monroe_02_Clone1,MS_Monroe_02_Clone1,Clone1,33.683111,-88.632492,33.683111 N -88.632492 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2116_DMCC2116,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,MS_AL,MS_AL,Lin1,Lin1,Lin1
36,DMCC2117_DMCC2117,DMCC2117,NM16,USA,MS,Sharkey,USA:MS,Lyophilized,B2D2,NA,MS_Sharkey_01,1,MS_Sharkey_01_Clone1,MS_Sharkey_01_Clone1,Clone1,33.0421667,-90.7957972,33.0421667 N -90.7957972 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2117_DMCC2117,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver,Lin1,Lin1,Lin1
37,DMCC2118_DMCC2118,DMCC2118,NOX1,USA,MS,Noxubee,USA:MS,Lyophilized,B2D2,NA,MS_Noxubee_01,1,MS_Noxubee_01_Clone1,MS_Noxubee_01_Clone1,Clone1,33.2105,-88.5034944,33.2105 N -88.5034944 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2118_DMCC2118,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,MS_AL,MS_AL,Lin1,Lin1,Lin1
38,DMCC2119_DMCC2119,DMCC2119,PRI5,USA,MS,Pearl_River,USA:MS,Lyophilized,B2D2,NA,MS_Pearl_River_01,1,MS_Pearl_River_01_Clone1,MS_Pearl_River_01_Clone1,Clone1,30.83961,-89.54633,30.83961 N -89.54633 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2119_DMCC2119,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,SouthernMS,SouthernMS_2,Lin1,Lin1,Lin1
39,DMCC2120_DMCC2120,DMCC2120,TEI1,USA,MS,Tallahatchie,USA:MS,Lyophilized,B2D2,NA,MS_Tallahatchie_01,1,MS_Tallahatchie_01_Clone1,MS_Tallahatchie_01_Clone1,Clone1,33.949496,-90.311269,33.949496 N -90.311269 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2120_DMCC2120,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver,Lin1,Lin1,Lin1
40,DMCC2121_DMCC2121,DMCC2121,LS15,USA,MS,Lee,USA:MS,Lyophilized,B2D2,NA,MS_Lee_02,2,MS_Lee_02_Clone1,MS_Lee_02_Clone1,Clone1,34.169006,-88.737052,34.169006 N -88.737052 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2121_DMCC2121,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,MS_AL,MS_AL,Lin1,Lin1,Lin1
41,DMCC2122_DMCC2122,DMCC2122,Yalabusha_1_I2,USA,MS,Yalobusha,USA:MS,Lyophilized,B2D2,NA,MS_Yalobusha_01,1,MS_Yalobusha_01_Clone1,MS_Yalobusha_01_Clone1,Clone1,34.169402,-89.5118,34.169402 N -89.5118 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2122_DMCC2122,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver_Yal,Lin1,Lin1,Lin1
42,DMCC2123_DMCC2123,DMCC2123,Yalabusha_2_I4,USA,MS,Yalobusha,USA:MS,Lyophilized,B2D2,NA,MS_Yalobusha_02,2,MS_Yalobusha_02_Clone1,MS_Yalobusha_02_Clone1,Clone1,34.138876,-89.582948,34.138876 N -89.582948 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2123_DMCC2123,Lin1,Lin1,Lin1,Lin1,Lin1,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver_Yal,Lin1,Lin1,Lin1
43,DMCC2124_DMCC2124,DMCC2124,Y1I5,USA,MS,Yazoo,USA:MS,Lyophilized,B2D2,NA,MS_Yazoo_01,1,MS_Yazoo_01_Clone1,MS_Yazoo_01_Clone1,Clone1,32.6478,-90.37586,32.6478 N -90.37586 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Allen,1905-07-08,2016,Contemp,X.necrophora_Contemp,DMCC2124_DMCC2124,Lin2,Lin2,Lin2,Lin1,Lin1,EastMissRiver,EastMissRiver,EastMissRiver,EastMissRiver,Lin1,Admix,Lin2
44,DMCC2125_DMCC2125,DMCC2125,TG06072017-03-01,USA,LA,Franklin,USA:LA,Lyophilized,B3C1,NA,LA_Franklin_03,3,LA_Franklin_03_Clone2,LA_Franklin_03_Clone2,Clone2,32.14034,-91.68772,32.14034 N -91.68772 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Garcia-Aroca,2017-06-07,2017,Contemp,X.necrophora_Contemp,DMCC2125_DMCC2125,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin2,Lin1,Lin1
45,DMCC2126_DMCC2126,DMCC2126,TG06202017-03,USA,LA,Madison,USA:LA,Lyophilized,0,NA,LA_Madison_02,2,LA_Madison_02_Clone1,LA_Madison_02_Clone1,Clone1,32.43375,-91.23473,32.43375 N -91.23473 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Garcia-Aroca,2017-06-20,2017,Contemp,X.necrophora_Contemp,DMCC2126_DMCC2126,Lin1,Lin1,Lin1,Lin1,Lin1,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin1,Lin1,Lin1
46,DMCC2127_DMCC2127,DMCC2127,TG06152017-03,USA,LA,West_Carrol,USA:LA,Lyophilized,0,NA,LA_West_Carrol_03,3,LA_West_Carrol_03_Clone1,LA_West_Carrol_03_Clone1,Clone3,32.79887,-91.56154,32.79887 N -91.56154 W,0,Soybean,Glycine_max,LiveRoots,Soybean:LiveRoots,Xylaria necrophora,0,0,0,T.Garcia-Aroca,2017-06-15,2017,Contemp,X.necrophora_Contemp,DMCC2127_DMCC2127,Lin2,Lin2,Lin2,Lin2,Lin2,WestMissRiver,WestMissRiver,WestMissRiver,WestMissRiver,Lin2,Admix,Lin2
